Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,403.51004,406.28,403.49002,404.99997,44915500,54.57412
2011-12-29,403.39999,405.64999,400.50998,405.12003,53994500,54.5903
2011-12-28,406.88998,408.25,401.34003,402.64001,57165500,54.25611
2011-12-27,403.09998,409.09,403.02005,406.52997,66269000,54.78029
2011-12-23,399.69,403.58997,399.48999,403.32999,67349800,54.34909
2011-12-22,397.00003,399.13,396.09998,398.54999,50589700,53.70498
2011-12-21,396.69,397.29999,392.01001,396.44998,65737000,53.422
2011-12-20,387.76004,396.09998,387.26001,395.95001,84303800,53.35463
2011-12-19,382.46997,384.84998,380.48004,382.20999,58882600,51.50315
2011-12-16,380.35999,384.14999,379.57001,381.02002,105369600,51.3428
2011-12-15,383.33002,383.73999,378.31003,378.94003,64050000,51.06252
2011-12-14,386.70001,387.38,377.68002,380.19,101721900,51.23096
2011-12-13,393.00003,395.39996,387.10001,388.81003,84732200,52.39251
2011-12-12,391.68002,393.90002,389.44998,391.83997,75266800,52.8008
2011-12-09,392.85001,394.04001,391.03003,393.62,74248300,53.04066
2011-12-08,391.45001,395.50,390.22998,390.66,94089100,52.6418
2011-12-07,389.93002,390.94,386.76001,389.09003,76186600,52.43024
2011-12-06,392.51001,394.62997,389.37997,390.94998,70899500,52.68087
2011-12-05,393.49002,396.41,390.39001,393.01004,89302500,52.95847
2011-12-02,389.82999,393.63004,388.58002,389.70001,94763900,52.51244
2011-12-01,382.54001,389.00,380.75003,387.92999,96795300,52.27393
2011-11-30,381.29001,382.28003,378.30002,382.19998,101484600,51.5018
2011-11-29,375.84,378.82999,370.19998,373.20001,93963800,50.28905
2011-11-28,372.35001,376.71997,370.33002,376.12,86603300,50.68252
2011-11-25,368.42001,371.15002,363.32001,363.56998,63690200,48.99139
2011-11-23,374.51001,375.84,366.88,366.98999,107067800,49.45224
2011-11-22,371.02002,377.93002,370.94,376.50998,102255300,50.73507
2011-11-21,370.40002,371.67999,365.91003,369.00998,111995100,49.72443
2011-11-18,378.92001,379.99002,374.88004,374.94,92984500,50.52351
2011-11-17,383.98004,384.57999,375.50003,377.40997,119975100,50.85634
2011-11-16,389.24997,391.13998,384.32001,384.76999,87302600,51.84811
2011-11-15,380.80002,389.50003,379.44998,388.82996,107702700,52.3952
2011-11-14,383.51999,385.24997,378.19998,379.26001,108226300,51.10564
2011-11-11,386.60999,388.69998,380.26001,384.61996,163446500,51.8279
2011-11-10,397.03,397.21002,382.15002,385.22,186188100,51.90875
2011-11-09,396.97,400.89001,394.22998,395.28,139671000,53.26435
2011-11-08,402.20999,407.99997,401.55997,406.23001,100110500,54.73987
2011-11-07,399.91,400.00003,396.13,399.73004,67568900,53.86399
2011-11-04,402.03003,403.44003,399.16003,400.23999,75557300,53.93271
2011-11-03,399.06998,403.39999,395.35999,403.07001,110346600,54.31406
2011-11-02,400.08997,400.43997,395.11005,397.41003,81837700,53.55137
2011-11-01,397.41003,399.50,393.22003,396.51004,132947500,53.4301
2011-10-31,402.41998,409.32999,401.05002,404.77997,96375300,54.54448
2011-10-28,403.00,406.35001,402.51001,404.94998,80710700,54.56739
2011-10-27,407.56,409.00,401.89001,404.69,123666200,54.53236
2011-10-26,401.76004,402.54999,393.15002,400.59998,114076200,53.98122
2011-10-25,405.03003,406.54999,397.38,397.77005,107606800,53.59988
2011-10-24,396.17999,406.50,395.39996,405.76999,125534500,54.67788
2011-10-21,398.10001,399.14001,390.75,392.87003,155311100,52.9396
2011-10-20,400.00003,400.35001,394.20996,395.31,137317600,53.26839
2011-10-19,401.34998,408.41998,397.79999,398.61996,276014900,53.71441
2011-10-18,421.76001,424.81,415.98999,422.23999,220400600,56.89723
2011-10-17,421.73999,426.69998,415.94,419.98999,171511200,56.59404
2011-10-14,416.82996,421.99997,415.27005,421.99997,143341800,56.86489
2011-10-13,404.98004,408.42999,402.85001,408.42999,106546300,55.03632
2011-10-12,407.34,409.25003,400.14001,402.18997,155571500,54.19547
2011-10-11,392.57001,403.17999,391.50,400.29004,151421900,53.93945
2011-10-10,379.08997,388.81003,378.20999,388.81003,110628700,52.39251
2011-10-07,375.78003,377.74002,368.49002,369.79999,133864500,49.83089
2011-10-06,373.33002,384.78,371.80002,377.37,203145600,50.85096
2011-10-05,367.86002,379.81998,360.30002,378.24997,196617400,50.96954
2011-10-04,374.56998,381.80002,354.23996,372.50003,308419300,50.19473
2011-10-03,380.37,382.64001,373.17001,374.60004,167274800,50.4777
2011-09-30,387.12003,388.88995,381.18002,381.32001,136910200,51.38323
2011-09-29,401.91998,402.20999,386.21002,390.56998,162771700,52.62967
2011-09-28,400.19,403.73999,396.51004,397.00998,107409400,53.49746
2011-09-27,408.72998,409.25003,398.05997,399.25998,158124400,53.80065
2011-09-26,399.86002,403.98001,391.30002,403.16998,203219100,54.32753
2011-09-23,400.28003,406.73996,399.85001,404.29999,136569300,54.4798
2011-09-22,401.03,409.81998,396.70001,401.82001,242120200,54.14562
2011-09-21,419.63998,421.58997,411.99997,412.13998,151494000,55.53624
2011-09-20,415.25,422.85999,411.19,413.45001,193938500,55.71278
2011-09-19,397.00003,413.23001,395.19998,411.63004,205965200,55.46753
2011-09-16,395.53998,400.50003,395.03003,400.50003,174628300,53.96775
2011-09-15,391.42999,393.65997,389.89999,392.95996,104454700,52.95172
2011-09-14,387.01999,392.20999,385.75998,389.30002,133681100,52.45854
2011-09-13,382.14001,386.21002,380.25,384.61996,110140100,51.8279
2011-09-12,372.99997,380.88,371.89999,379.94,116958100,51.19727
2011-09-09,383.92999,386.00003,375.02005,377.47995,141203300,50.86578
2011-09-08,382.39999,388.60995,382.30997,384.13998,104039600,51.76322
2011-09-07,385.56,385.59998,382.00,383.92999,87644200,51.73492
2011-09-06,367.37,380.33002,366.48004,379.73999,127424500,51.17031
2011-09-02,374.74002,378.00,371.82999,374.04999,109734800,50.40358
2011-09-01,385.82001,387.34003,380.71997,381.03003,85931300,51.34415
2011-08-31,390.56998,392.08002,381.86002,384.82999,130646600,51.8562
2011-08-30,388.25003,391.83997,386.21002,389.99002,104480600,52.55152
2011-08-29,388.18002,391.50,388.00,389.97,101317300,52.54882
2011-08-26,371.17001,383.79999,370.80002,383.57996,160369300,51.68776
2011-08-25,365.08002,375.44998,365.00003,373.71997,217836500,50.35912
2011-08-24,373.47003,378.95996,370.60001,376.18002,156566900,50.69061
2011-08-23,360.30002,373.63998,357.00,373.60001,164208800,50.34295
2011-08-22,364.51001,364.87997,355.08997,356.44,133828800,48.03062
2011-08-19,362.16998,367.00,355.99997,356.03003,193972100,47.97538
2011-08-18,370.83997,372.64996,361.37003,366.05002,212858800,49.32558
2011-08-17,382.30997,384.52002,378.00,380.44,110515300,51.26464
2011-08-16,381.52002,383.36996,376.06,380.48004,124687500,51.27004
2011-08-15,379.63004,384.96997,378.09003,383.41003,115136000,51.66486
2011-08-12,378.06998,379.64005,374.23001,376.98996,132244000,50.79975
2011-08-11,370.52002,375.44998,364.72003,373.69998,185492300,50.35642
2011-08-10,371.15002,374.65002,362.49997,363.68997,219664200,49.00756
2011-08-09,361.30002,374.60995,355.00003,374.01001,270645900,50.39819
2011-08-08,361.69,367.76999,353.02002,353.20999,285958400,47.59537
2011-08-05,380.44,383.49997,362.56998,373.62003,301147700,50.34565
2011-08-04,389.41,391.32001,377.34998,377.37,217851900,50.85096
2011-08-03,390.98004,393.55002,382.23996,392.57001,183127000,52.89917
2011-08-02,397.64999,397.90002,388.34998,388.91,159884900,52.40598
2011-08-01,397.77997,399.50,392.37003,396.75,153209000,53.46243
2011-07-29,387.63998,395.14999,383.99997,390.48001,158146100,52.61755
2011-07-28,391.61996,396.99002,388.12997,391.82001,148508500,52.79811
2011-07-27,400.58997,402.64001,392.15002,392.59003,164831100,52.90187
2011-07-26,400.00003,404.49997,399.67999,403.41,119145600,54.35987
2011-07-25,390.35004,400.00003,389.62,398.50,147451500,53.69824
2011-07-22,388.32001,395.04999,387.75003,393.29999,129182200,52.99754
2011-07-21,386.94998,390.06,383.90002,387.28998,131633600,52.18769
2011-07-20,396.12,396.27002,386.00003,386.90002,235335100,52.13514
2011-07-19,378.00,378.65002,373.32001,376.84998,204786400,50.78088
2011-07-18,365.43002,374.65002,365.28003,373.80002,143163300,50.3699
2011-07-15,361.16998,365.00003,359.17001,364.92001,121116800,49.17331
2011-07-14,361.01001,361.60999,356.33997,357.77002,107633400,48.20984
2011-07-13,358.32999,360.00,356.38,358.01996,97909700,48.24352
2011-07-12,353.53003,357.67999,348.62003,353.74997,112902300,47.66814
2011-07-11,356.33997,359.76996,352.82001,354.00,110668600,47.70183
2011-07-08,353.33997,360.00,352.20001,359.70996,122408300,48.47125
2011-07-07,354.66998,358.00003,354.00,357.19998,99915900,48.13303
2011-07-06,348.94998,354.09998,346.70999,351.76001,111156500,47.39999
2011-07-05,343.00,349.82999,342.50,349.42999,88763500,47.08602
2011-07-01,335.95001,343.50,334.20001,343.25998,108828300,46.2546
2011-06-30,334.70001,336.13,332.83997,335.67004,80738700,45.23185
2011-06-29,336.03998,336.37003,331.88,334.04001,88136300,45.0122
2011-06-28,333.65002,336.69998,333.44003,335.26004,73574900,45.1766
2011-06-27,327.58997,333.89999,327.25,332.04004,84953400,44.7427
2011-06-24,331.37,333.15002,325.09,326.35001,109951800,43.97597
2011-06-23,318.94,331.69003,318.11996,331.22998,139939800,44.63355
2011-06-22,325.16003,328.89996,322.38004,322.60999,97645800,43.47199
2011-06-21,316.68002,325.80002,315.19998,325.30002,123345600,43.83448
2011-06-20,317.35999,317.69998,310.49997,315.31998,160161400,42.48966
2011-06-17,328.98999,329.24997,319.36002,320.26001,153755000,43.15533
2011-06-16,326.89999,328.68002,318.32999,325.16003,127647800,43.81561
2011-06-15,329.74997,330.29999,324.88,326.75,99799000,44.02987
2011-06-14,330.00003,333.24997,329.31003,332.44,83642300,44.7966
2011-06-13,327.20001,328.31,325.06998,326.59998,82368300,44.00965
2011-06-10,330.55002,331.66,325.51001,325.89999,108488800,43.91533
2011-06-09,333.24997,333.66998,330.75,331.48996,68772200,44.66858
2011-06-08,331.77997,334.79999,330.64996,332.24002,83430900,44.76965
2011-06-07,338.17001,338.21997,331.90002,332.04004,132446300,44.7427
2011-06-06,345.69998,347.04999,337.81,338.04001,115485300,45.5512
