complete,closeMid,highMid,lowMid,volume,openMid,time
True,1.78943,1.79017,1.77631,14653,1.7849,2014-01-01T22:00:00.000000Z
True,1.77937,1.79017,1.77629,41883,1.78962,2014-01-02T22:00:00.000000Z
True,1.77751,1.79017,1.77631,49047,1.77949,2014-01-03T22:00:00.000000Z
True,1.78198,1.79017,1.77631,45176,1.77745,2014-01-04T22:00:00.000000Z
True,1.78255,1.79017,1.77631,46393,1.78203,2014-01-05T22:00:00.000000Z
True,1.7828,1.79017,1.77631,47031,1.7849,2014-01-06T22:00:00.000000Z
True,1.78263,1.79017,1.77631,47132,1.78273,2014-01-07T22:00:00.000000Z
True,1.78238,1.79017,1.77631,46115,1.78268,2014-01-08T22:00:00.000000Z
True,1.78207,1.79017,1.77631,48909,1.78224,2014-01-09T22:00:00.000000Z
True,1.78968,1.79017,1.77631,48411,1.78198,2014-01-10T22:00:00.000000Z
True,1.77751,1.79017,1.77631,48396,1.78951,2014-01-11T22:00:00.000000Z
True,1.78181,1.79017,1.77631,48810,1.77745,2014-01-12T22:00:00.000000Z
True,1.77751,1.79017,1.77631,46424,1.78174,2014-01-13T22:00:00.000000Z
True,1.77634,1.79017,1.77631,47263,1.77745,2014-01-14T22:00:00.000000Z
True,1.78958,1.79017,1.77631,45334,1.7849,2014-01-15T22:00:00.000000Z
True,1.78195,1.79017,1.77629,45283,1.7895,2014-01-16T22:00:00.000000Z
True,1.78568,1.79017,1.77631,46031,1.78189,2014-01-17T22:00:00.000000Z
True,1.77936,1.79017,1.77629,43734,1.78573,2014-01-18T22:00:00.000000Z
True,1.78448,1.79017,1.77631,45855,1.77949,2014-01-19T22:00:00.000000Z
True,1.78273,1.79017,1.77629,42989,1.78441,2014-01-20T22:00:00.000000Z
True,1.78195,1.79017,1.77631,46616,1.78264,2014-01-21T22:00:00.000000Z
True,1.78456,1.79017,1.77629,48515,1.78189,2014-01-22T22:00:00.000000Z
