complete,closeMid,highMid,lowMid,volume,openMid,time
True,1.584945,1.586135,1.58431,24169,1.58524,2014-12-31T22:00:00.000000Z
True,1.585095,1.586135,1.58431,24154,1.58495,2015-01-01T22:00:00.000000Z
True,1.58606,1.586135,1.58431,23971,1.585085,2015-01-02T22:00:00.000000Z
True,1.58562,1.586135,1.58431,23942,1.586055,2015-01-03T22:00:00.000000Z
True,1.585645,1.586135,1.58431,23970,1.585625,2015-01-04T22:00:00.000000Z
True,1.585345,1.586135,1.58431,23949,1.58566,2015-01-05T22:00:00.000000Z
True,1.58506,1.586135,1.58431,24023,1.585335,2015-01-06T22:00:00.000000Z
True,1.584615,1.586135,1.58431,24160,1.585075,2015-01-07T22:00:00.000000Z
True,1.58534,1.586135,1.58431,24054,1.584605,2015-01-08T22:00:00.000000Z
True,1.585955,1.586135,1.58431,23995,1.585335,2015-01-09T22:00:00.000000Z
True,1.58523,1.586135,1.58431,23967,1.585955,2015-01-10T22:00:00.000000Z
True,1.58577,1.586135,1.58431,23898,1.585245,2015-01-11T22:00:00.000000Z
True,1.585365,1.586135,1.58431,23791,1.585765,2015-01-12T22:00:00.000000Z
True,1.585415,1.586135,1.58431,24138,1.58536,2015-01-13T22:00:00.000000Z
True,1.584665,1.586135,1.58431,24128,1.58541,2015-01-14T22:00:00.000000Z
True,1.58608,1.586135,1.58431,24037,1.584655,2015-01-15T22:00:00.000000Z
True,1.585865,1.586135,1.58431,23939,1.58608,2015-01-16T22:00:00.000000Z
True,1.58525,1.586135,1.58431,23950,1.585855,2015-01-17T22:00:00.000000Z
True,1.585455,1.586135,1.58431,23975,1.585255,2015-01-18T22:00:00.000000Z
True,1.58525,1.586135,1.58431,23763,1.585465,2015-01-19T22:00:00.000000Z
True,1.58442,1.586135,1.58431,24216,1.58526,2015-01-20T22:00:00.000000Z
True,1.584995,1.586135,1.58431,24096,1.584425,2015-01-21T22:00:00.000000Z
True,1.58597,1.586135,1.58431,23996,1.585005,2015-01-22T22:00:00.000000Z
True,1.58552,1.586135,1.58431,23968,1.585985,2015-01-23T22:00:00.000000Z
True,1.585715,1.586135,1.58431,23885,1.585515,2015-01-24T22:00:00.000000Z
True,1.585355,1.586135,1.58431,23920,1.585715,2015-01-25T22:00:00.000000Z
True,1.58535,1.586135,1.58431,24059,1.58535,2015-01-26T22:00:00.000000Z
True,1.584555,1.586135,1.58431,24117,1.585365,2015-01-27T22:00:00.000000Z
True,1.58538,1.586135,1.58431,24055,1.584565,2015-01-28T22:00:00.000000Z
True,1.586025,1.586135,1.58431,24015,1.58542,2015-01-29T22:00:00.000000Z
True,1.58515,1.586135,1.58431,23989,1.586035,2015-01-30T22:00:00.000000Z
True,1.585745,1.586135,1.58431,23964,1.585155,2015-01-31T22:00:00.000000Z
True,1.585465,1.586135,1.58431,23795,1.58573,2015-02-01T22:00:00.000000Z
True,1.58537,1.586135,1.58431,24124,1.58545,2015-02-02T22:00:00.000000Z
True,1.584735,1.586135,1.58431,24151,1.585375,2015-02-03T22:00:00.000000Z
True,1.586075,1.586135,1.58431,24045,1.58472,2015-02-04T22:00:00.000000Z
True,1.58568,1.586135,1.58431,23944,1.586075,2015-02-05T22:00:00.000000Z
True,1.585255,1.586135,1.58431,23872,1.58566,2015-02-06T22:00:00.000000Z
True,1.58546,1.586135,1.58431,23878,1.58526,2015-02-07T22:00:00.000000Z
True,1.58526,1.586135,1.58431,23808,1.585475,2015-02-08T22:00:00.000000Z
True,1.58442,1.586135,1.58431,24332,1.585245,2015-02-09T22:00:00.000000Z
True,1.58497,1.586135,1.58431,24030,1.58442,2015-02-10T22:00:00.000000Z
True,1.58613,1.586135,1.58431,24036,1.58498,2015-02-11T22:00:00.000000Z
True,1.585455,1.586135,1.58431,23916,1.58612,2015-02-12T22:00:00.000000Z
True,1.58566,1.586135,1.58431,23854,1.58547,2015-02-13T22:00:00.000000Z
True,1.58524,1.586135,1.58431,23887,1.585645,2015-02-14T22:00:00.000000Z
True,1.58535,1.586135,1.58431,24074,1.58525,2015-02-15T22:00:00.000000Z
True,1.584735,1.586135,1.58431,24105,1.585335,2015-02-16T22:00:00.000000Z
True,1.58539,1.586135,1.58431,24012,1.58473,2015-02-17T22:00:00.000000Z
True,1.58597,1.586135,1.58431,24012,1.5854,2015-02-18T22:00:00.000000Z
True,1.585245,1.586135,1.58431,23994,1.585955,2015-02-19T22:00:00.000000Z
True,1.58562,1.586135,1.58431,23916,1.585245,2015-02-20T22:00:00.000000Z
True,1.58535,1.586135,1.58431,23799,1.585605,2015-02-21T22:00:00.000000Z
True,1.585945,1.586135,1.58431,23889,1.58535,2015-02-22T22:00:00.000000Z
True,1.58516,1.586135,1.58431,23981,1.585945,2015-02-23T22:00:00.000000Z
True,1.58577,1.586135,1.58431,23887,1.585165,2015-02-24T22:00:00.000000Z
True,1.58532,1.586135,1.58431,23776,1.585765,2015-02-25T22:00:00.000000Z
True,1.5854,1.586135,1.58431,24123,1.58535,2015-02-26T22:00:00.000000Z
True,1.58465,1.586135,1.58431,24113,1.58539,2015-02-27T22:00:00.000000Z
True,1.58532,1.586135,1.58431,24014,1.584635,2015-02-28T22:00:00.000000Z
True,1.585935,1.586135,1.58431,23918,1.585295,2015-03-01T22:00:00.000000Z
True,1.58525,1.586135,1.58431,23942,1.585935,2015-03-02T22:00:00.000000Z
True,1.585425,1.586135,1.58431,23951,1.585255,2015-03-03T22:00:00.000000Z
True,1.58525,1.586135,1.58431,23792,1.58543,2015-03-04T22:00:00.000000Z
True,1.584485,1.586135,1.58431,24213,1.58526,2015-03-05T22:00:00.000000Z
True,1.585,1.586135,1.58431,24120,1.584465,2015-03-06T22:00:00.000000Z
True,1.58438,1.586135,1.58431,22900,1.584995,2015-03-07T22:00:00.000000Z
True,1.58501,1.586135,1.58431,24066,1.584405,2015-03-08T21:00:00.000000Z
True,1.58597,1.586135,1.58431,23970,1.585005,2015-03-09T21:00:00.000000Z
True,1.585515,1.586135,1.58431,23946,1.585985,2015-03-10T21:00:00.000000Z
True,1.58566,1.586135,1.58431,23888,1.58551,2015-03-11T21:00:00.000000Z
True,1.585355,1.586135,1.58431,23900,1.58566,2015-03-12T21:00:00.000000Z
True,1.585375,1.586135,1.58431,24048,1.58535,2015-03-13T21:00:00.000000Z
True,1.58457,1.586135,1.58431,24130,1.585365,2015-03-14T21:00:00.000000Z
True,1.58543,1.586135,1.58431,24057,1.584565,2015-03-15T21:00:00.000000Z
True,1.58611,1.586135,1.58431,24013,1.58542,2015-03-16T21:00:00.000000Z
True,1.585185,1.586135,1.58431,23955,1.586105,2015-03-17T21:00:00.000000Z
True,1.585565,1.586135,1.58431,23878,1.585205,2015-03-18T21:00:00.000000Z
True,1.585745,1.586135,1.58431,23900,1.58554,2015-03-19T21:00:00.000000Z
True,1.585335,1.586135,1.58431,23929,1.58576,2015-03-20T21:00:00.000000Z
True,1.585155,1.586135,1.58431,24008,1.585335,2015-03-21T21:00:00.000000Z
True,1.58459,1.586135,1.58431,24186,1.585165,2015-03-22T21:00:00.000000Z
True,1.58534,1.586135,1.58431,24049,1.584575,2015-03-23T21:00:00.000000Z
True,1.585955,1.586135,1.58431,23993,1.585335,2015-03-24T21:00:00.000000Z
True,1.58525,1.586135,1.58431,23962,1.585945,2015-03-25T21:00:00.000000Z
True,1.585775,1.586135,1.58431,23875,1.58525,2015-03-26T21:00:00.000000Z
True,1.585305,1.586135,1.58431,23844,1.585775,2015-03-27T21:00:00.000000Z
True,1.58537,1.586135,1.58431,24096,1.58531,2015-03-28T21:00:00.000000Z
True,1.584675,1.586135,1.58431,24117,1.585375,2015-03-29T21:00:00.000000Z
True,1.58457,1.586135,1.58431,23812,1.58467,2015-03-30T21:00:00.000000Z
True,1.58543,1.586135,1.58431,24012,1.58459,2015-03-31T21:00:00.000000Z
True,1.58611,1.586135,1.58431,23970,1.58542,2015-04-01T21:00:00.000000Z
True,1.585185,1.586135,1.58431,23981,1.586105,2015-04-02T21:00:00.000000Z
True,1.58573,1.586135,1.58431,23885,1.585205,2015-04-03T21:00:00.000000Z
True,1.585465,1.586135,1.58431,23788,1.585725,2015-04-04T21:00:00.000000Z
True,1.585295,1.586135,1.58431,24143,1.58545,2015-04-05T21:00:00.000000Z
True,1.58478,1.586135,1.58431,24137,1.585285,2015-04-06T21:00:00.000000Z
True,1.5861,1.586135,1.58431,24009,1.584775,2015-04-07T21:00:00.000000Z
True,1.585635,1.586135,1.58431,23893,1.5861,2015-04-08T21:00:00.000000Z
True,1.585255,1.586135,1.58431,23889,1.58564,2015-04-09T21:00:00.000000Z
True,1.58546,1.586135,1.58431,23944,1.58526,2015-04-10T21:00:00.000000Z
True,1.585245,1.586135,1.58431,23785,1.585475,2015-04-11T21:00:00.000000Z
True,1.584385,1.586135,1.58431,24309,1.58524,2015-04-12T21:00:00.000000Z
True,1.585,1.586135,1.58431,24062,1.584395,2015-04-13T21:00:00.000000Z
True,1.58612,1.586135,1.58431,23987,1.585,2015-04-14T21:00:00.000000Z
True,1.58552,1.586135,1.58431,23898,1.58612,2015-04-15T21:00:00.000000Z
True,1.58497,1.586135,1.58431,23379,1.58607,2015-04-16T21:00:00.000000Z
True,1.58611,1.586135,1.58431,23972,1.58497,2015-04-17T21:00:00.000000Z
True,1.585605,1.586135,1.58431,23949,1.586105,2015-04-18T21:00:00.000000Z
True,1.585255,1.586135,1.58431,23887,1.5856,2015-04-19T21:00:00.000000Z
True,1.585965,1.586135,1.58431,23799,1.58526,2015-04-20T21:00:00.000000Z
