complete,closeMid,highMid,lowMid,volume,openMid,time
True,1.5861,1.58612,1.58431,1123,1.584945,2015-05-04T03:00:00.000000Z
True,1.585545,1.586135,1.585075,850,1.58611,2015-05-04T04:00:00.000000Z
True,1.58497,1.58586,1.58478,857,1.585555,2015-05-04T05:00:00.000000Z
True,1.58508,1.585465,1.58431,1262,1.584975,2015-05-04T06:00:00.000000Z
True,1.585275,1.586135,1.58508,952,1.58508,2015-05-04T07:00:00.000000Z
True,1.585375,1.58586,1.585075,796,1.58526,2015-05-04T08:00:00.000000Z
True,1.58475,1.585465,1.58431,1221,1.58537,2015-05-04T09:00:00.000000Z
True,1.58604,1.586135,1.584565,1034,1.584755,2015-05-04T10:00:00.000000Z
True,1.58553,1.586045,1.585075,931,1.58604,2015-05-04T11:00:00.000000Z
True,1.585245,1.585585,1.58478,945,1.58555,2015-05-04T12:00:00.000000Z
True,1.586095,1.58612,1.58431,1165,1.58524,2015-05-04T13:00:00.000000Z
True,1.585255,1.586135,1.585075,869,1.58609,2015-05-04T14:00:00.000000Z
True,1.58526,1.58586,1.58518,759,1.58526,2015-05-04T15:00:00.000000Z
True,1.58497,1.585465,1.58431,1379,1.585245,2015-05-04T16:00:00.000000Z
True,1.585525,1.586135,1.584955,950,1.58497,2015-05-04T17:00:00.000000Z
True,1.585355,1.58586,1.585075,789,1.585515,2015-05-04T18:00:00.000000Z
True,1.58454,1.585465,1.58431,1204,1.58535,2015-05-04T19:00:00.000000Z
True,1.58597,1.586135,1.584535,1043,1.58454,2015-05-04T20:00:00.000000Z
True,1.585795,1.58611,1.585075,900,1.58598,2015-05-04T21:00:00.000000Z
True,1.58541,1.58586,1.58478,935,1.5858,2015-05-04T22:00:00.000000Z
True,1.58535,1.58547,1.58431,1156,1.585415,2015-05-04T23:00:00.000000Z
True,1.58526,1.586135,1.585075,914,1.58536,2015-05-05T00:00:00.000000Z
True,1.58527,1.58586,1.58518,784,1.58526,2015-05-05T01:00:00.000000Z
True,1.58508,1.585465,1.58431,1325,1.58524,2015-05-05T02:00:00.000000Z
True,1.5856,1.586135,1.58494,946,1.58509,2015-05-05T03:00:00.000000Z
True,1.58545,1.58586,1.585075,815,1.585625,2015-05-05T04:00:00.000000Z
