complete,closeMid,highMid,lowMid,volume,openMid,time
True,1.6407,1.6407,1.60552,631,1.6186,2014-01-01T22:00:00.000000Z
True,1.60855,1.6407,1.60552,1858,1.62955,2014-01-02T22:00:00.000000Z
True,1.60925,1.6407,1.60552,2129,1.6157,2014-01-03T22:00:00.000000Z
True,1.625,1.6407,1.60538,2006,1.6145,2014-01-04T22:00:00.000000Z
True,1.60652,1.6407,1.60538,2034,1.6259,2014-01-05T22:00:00.000000Z
True,1.60735,1.6407,1.60538,2052,1.6186,2014-01-06T22:00:00.000000Z
True,1.60608,1.6407,1.60552,2080,1.6186,2014-01-07T22:00:00.000000Z
True,1.625,1.6407,1.60552,2025,1.60596,2014-01-08T22:00:00.000000Z
True,1.625,1.6407,1.60538,2114,1.6259,2014-01-09T22:00:00.000000Z
True,1.6407,1.6407,1.60538,2102,1.6259,2014-01-10T22:00:00.000000Z
True,1.60925,1.6407,1.60538,2113,1.62955,2014-01-11T22:00:00.000000Z
True,1.6149,1.6407,1.60538,2109,1.6145,2014-01-12T22:00:00.000000Z
True,1.60925,1.6407,1.60552,2056,1.61762,2014-01-13T22:00:00.000000Z
True,1.62025,1.6407,1.60538,2074,1.6145,2014-01-14T22:00:00.000000Z
True,1.6407,1.6407,1.60538,1998,1.6186,2014-01-15T22:00:00.000000Z
True,1.6149,1.6407,1.60538,1986,1.62955,2014-01-16T22:00:00.000000Z
True,1.6275,1.6407,1.60552,1985,1.61762,2014-01-17T22:00:00.000000Z
True,1.60855,1.6407,1.60538,1951,1.62932,2014-01-18T22:00:00.000000Z
True,1.61865,1.6407,1.60552,1984,1.6157,2014-01-19T22:00:00.000000Z
True,1.60735,1.6407,1.60538,1879,1.61237,2014-01-20T22:00:00.000000Z
True,1.6149,1.6407,1.60538,2056,1.60747,2014-01-21T22:00:00.000000Z
True,1.61865,1.6407,1.60538,2063,1.61762,2014-01-22T22:00:00.000000Z
True,1.62,1.6407,1.60538,2041,1.61177,2014-01-23T22:00:00.000000Z
True,1.6283,1.6407,1.60538,2087,1.6186,2014-01-24T22:00:00.000000Z
True,1.60855,1.6407,1.60538,2004,1.62837,2014-01-25T22:00:00.000000Z
True,1.60735,1.6407,1.60552,1976,1.6157,2014-01-26T22:00:00.000000Z
True,1.6275,1.6407,1.60538,2033,1.6186,2014-01-27T22:00:00.000000Z
True,1.6208,1.6407,1.60538,1949,1.62932,2014-01-28T22:00:00.000000Z
True,1.60608,1.6407,1.60538,1828,1.6186,2014-01-29T22:00:00.000000Z
True,1.6283,1.6407,1.60552,2061,1.60596,2014-01-30T22:00:00.000000Z
True,1.6283,1.6407,1.60552,1941,1.62837,2014-01-31T22:00:00.000000Z
True,1.60925,1.6407,1.60538,2098,1.62837,2014-02-01T22:00:00.000000Z
True,1.60855,1.6407,1.60538,2075,1.6145,2014-02-02T22:00:00.000000Z
True,1.61865,1.6407,1.60552,2126,1.6157,2014-02-03T22:00:00.000000Z
True,1.60608,1.6407,1.60538,1981,1.61177,2014-02-04T22:00:00.000000Z
True,1.60608,1.6407,1.60538,2033,1.60596,2014-02-05T22:00:00.000000Z
True,1.60855,1.6407,1.60538,1923,1.61855,2014-02-06T22:00:00.000000Z
True,1.61865,1.6407,1.60538,2137,1.6186,2014-02-07T22:00:00.000000Z
True,1.6149,1.6407,1.60538,2066,1.61237,2014-02-08T22:00:00.000000Z
True,1.60735,1.6407,1.60552,1979,1.61762,2014-02-09T22:00:00.000000Z
True,1.60925,1.6407,1.60552,2025,1.60747,2014-02-10T22:00:00.000000Z
True,1.6149,1.6407,1.60505,1992,1.6145,2014-02-11T22:00:00.000000Z
True,1.60925,1.6407,1.60538,2011,1.61762,2014-02-12T22:00:00.000000Z
True,1.61865,1.6407,1.60552,1833,1.6145,2014-02-13T22:00:00.000000Z
True,1.60855,1.6407,1.60552,2013,1.61237,2014-02-14T22:00:00.000000Z
True,1.60885,1.6407,1.60538,1964,1.6157,2014-02-15T22:00:00.000000Z
True,1.61865,1.6407,1.60538,1520,1.6186,2014-02-16T22:00:00.000000Z
True,1.60608,1.6407,1.60538,1778,1.6186,2014-02-17T22:00:00.000000Z
True,1.60735,1.6407,1.60538,2044,1.60596,2014-02-18T22:00:00.000000Z
True,1.6283,1.6407,1.60552,2059,1.61518,2014-02-19T22:00:00.000000Z
True,1.60855,1.6407,1.60538,1993,1.62837,2014-02-20T22:00:00.000000Z
True,1.60925,1.6407,1.60538,1925,1.6157,2014-02-21T22:00:00.000000Z
True,1.60855,1.6407,1.60552,2052,1.6145,2014-02-22T22:00:00.000000Z
True,1.60608,1.6407,1.60538,1975,1.6157,2014-02-23T22:00:00.000000Z
True,1.6283,1.6407,1.60538,2096,1.60596,2014-02-24T22:00:00.000000Z
True,1.6283,1.6407,1.60552,2039,1.62837,2014-02-25T22:00:00.000000Z
True,1.60701,1.6407,1.60538,1672,1.62837,2014-02-26T22:00:00.000000Z
True,1.61865,1.6407,1.60552,511,1.6186,2014-02-27T22:00:00.000000Z
True,1.60855,1.6407,1.60552,1920,1.61237,2014-02-28T22:00:00.000000Z
True,1.60735,1.6407,1.60552,2005,1.6157,2014-03-01T22:00:00.000000Z
True,1.60735,1.6407,1.60552,2019,1.60747,2014-03-02T22:00:00.000000Z
True,1.60735,1.6407,1.60538,1869,1.60747,2014-03-03T22:00:00.000000Z
True,1.61865,1.6407,1.60552,1756,1.60747,2014-03-04T22:00:00.000000Z
True,1.6357,1.6407,1.60552,1722,1.6186,2014-03-05T22:00:00.000000Z
True,1.62,1.6407,1.60552,1766,1.6186,2014-03-06T22:00:00.000000Z
True,1.625,1.6407,1.60552,1902,1.6186,2014-03-07T22:00:00.000000Z
True,1.61865,1.6407,1.60552,1566,1.6259,2014-03-08T22:00:00.000000Z
True,1.61865,1.6407,1.60552,1742,1.6186,2014-03-09T21:00:00.000000Z
True,1.60608,1.6407,1.60552,1835,1.6186,2014-03-10T21:00:00.000000Z
True,1.60608,1.6407,1.60552,1693,1.60596,2014-03-11T21:00:00.000000Z
True,1.60608,1.6407,1.60552,1656,1.61855,2014-03-12T21:00:00.000000Z
True,1.60608,1.6407,1.60552,1687,1.60596,2014-03-13T21:00:00.000000Z
True,1.60735,1.6407,1.60552,1815,1.60596,2014-03-14T21:00:00.000000Z
True,1.60608,1.6407,1.60552,1689,1.60747,2014-03-15T21:00:00.000000Z
True,1.60608,1.6407,1.60552,1689,1.60596,2014-03-16T21:00:00.000000Z
True,1.60593,1.6407,1.60552,1172,1.60596,2014-03-17T21:00:00.000000Z
True,1.60593,1.6407,1.60538,1751,1.61855,2014-03-18T21:00:00.000000Z
True,1.6149,1.6407,1.60538,1650,1.6186,2014-03-19T21:00:00.000000Z
True,1.61865,1.6407,1.60552,1326,1.61762,2014-03-20T21:00:00.000000Z
True,1.60735,1.6407,1.60552,801,1.6186,2014-03-21T21:00:00.000000Z
True,1.6283,1.6407,1.60552,944,1.6186,2014-03-22T21:00:00.000000Z
True,1.61865,1.6407,1.60538,666,1.6186,2014-03-23T21:00:00.000000Z
True,1.60608,1.6407,1.60538,1544,1.61855,2014-03-24T21:00:00.000000Z
True,1.6283,1.6407,1.60538,1793,1.60596,2014-03-25T21:00:00.000000Z
True,1.6275,1.6407,1.60538,1910,1.62837,2014-03-26T21:00:00.000000Z
True,1.6283,1.6407,1.60538,1885,1.62932,2014-03-27T21:00:00.000000Z
True,1.6149,1.6407,1.60538,1840,1.62837,2014-03-28T21:00:00.000000Z
True,1.63555,1.6407,1.60538,1912,1.61762,2014-03-29T21:00:00.000000Z
True,1.6149,1.6407,1.60538,1883,1.6186,2014-03-30T21:00:00.000000Z
True,1.60855,1.6407,1.60538,1858,1.61762,2014-03-31T21:00:00.000000Z
True,1.60608,1.6407,1.60538,1859,1.6157,2014-04-01T21:00:00.000000Z
True,1.60608,1.6407,1.60538,1811,1.61855,2014-04-02T21:00:00.000000Z
True,1.60608,1.6407,1.60552,1897,1.60596,2014-04-03T21:00:00.000000Z
True,1.60735,1.6407,1.60538,1878,1.60596,2014-04-04T21:00:00.000000Z
True,1.60735,1.6407,1.60538,1899,1.6186,2014-04-05T21:00:00.000000Z
True,1.6238,1.6407,1.60538,1919,1.60747,2014-04-06T21:00:00.000000Z
True,1.6149,1.6407,1.60538,1918,1.6186,2014-04-07T21:00:00.000000Z
True,1.60593,1.6407,1.60538,1874,1.61762,2014-04-08T21:00:00.000000Z
True,1.60855,1.6407,1.60552,2006,1.61855,2014-04-09T21:00:00.000000Z
True,1.60735,1.6407,1.60538,1913,1.6157,2014-04-10T21:00:00.000000Z
True,1.60735,1.6407,1.60538,1794,1.60747,2014-04-11T21:00:00.000000Z
True,1.625,1.6407,1.60538,1904,1.60747,2014-04-12T21:00:00.000000Z
True,1.61865,1.6407,1.60538,1940,1.6259,2014-04-13T21:00:00.000000Z
True,1.61534,1.6407,1.60538,1983,1.61237,2014-04-14T21:00:00.000000Z
